id,type,name,description,target,belongs_to,pc,median_tau_score,ts_pc,sum_tau,Kang_Berch_Combined_Signature,Progerin_Signature,Serum_6hr_Signature_probeSet_summed2genes_before_LmFit,Serum_72hr_Signature_probeSet_summed2genes_before_LmFit,Serum_144hr_Signature_probeSet_summed2genes_before_LmFit,Serum_1hr_Signature_probeSet_summed2genes_before_LmFit,Serum_24hr_Signature_probeSet_summed2genes_before_LmFit
BRD-K86161929,CP,cortisone,glucocorticoid receptor agonist,NR3C1,,"4.76, 1.59",41.28,"1.23, 0.40",270.8,9.26,41.28,43.68,-7.13,81.63,67.66,34.42
BRD-A02333338,CP,cyclopamine,"smoothened receptor antagonist, hedgehog pathway inhibitor","SMO, DHH, IHH, PTCH1",,"5.71, 4.29",19.68,"1.39, 0.55",270.77,88.19,88.87,98.34,5.3,-20.91,19.68,-8.7
BRD-K82381502,CP,acetylcholine,neurotransmitter of the peripheral and central nervous systems,"ACHE, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, CHRNA2",,"3.17, 1.59",32.43,"2.52, 0.67",267.26,32.43,92.34,2.92,0,65.77,60.81,12.99
BRD-K16485616,CP,mocetinostat,"HDAC inhibitor, cell cycle inhibitor","HDAC1, HDAC2, HDAC3, HDAC11",HDAC inhibitor,"15.71, 10.00",13.27,"1.90, 0.51",263.76,97.78,88.66,96.97,13.27,0,-32.92,0
BRD-A59985574,CP,topotecan,topoisomerase inhibitor,"TOP1, TOP1MT",Topoisomerase inhibitor,"20.63, 11.11",3.66,"3.25, 0.84",258.28,97.99,97.12,79.34,0,3.66,-19.83,0
BRD-M47793593,CP,picrotoxin,GABA receptor antagonist,"GABRA1, GLRA2, GLRA3, GABRR1, GLRA1, GLRB, HTR3A, HTR3B",,"3.57, 1.79",32,"1.74, 0.64",253.84,30.03,80.45,45.01,26.21,52.64,32,-12.5
BRD-A02481876,CP,importazole,importin-beta transport receptor inhibitor,KPNB1,,"2.86, 2.86",33.27,"1.51, 0.24",250.05,69.61,66.13,-31.61,33.27,82.02,4.23,26.4
BRD-K49945136,CP,GR-113808,serotonin receptor antagonist,HTR4,,"0.00, 0.00",27.89,"0.91, 0.32",245.39,69.53,93.53,-9.25,0.67,27.89,12.47,50.55
BRD-K82147103,CP,lofepramine,"adrenergic transmitter uptake inhibitor, norepinephrine reuptake inhibitor, serotonin reuptake inhibitor, serotonin uptake inhibitor, tricyclic antidepressant","SLC6A2, SLC6A4",,"1.79, 0.00",28.22,"1.72, 0.57",242.6,28.22,60.07,58.35,4.51,0.28,12.91,78.26
BRD-K73982490,CP,BI-78D3,JNK inhibitor,MAPK8,,"2.86, 2.86",35.34,"1.74, 0.51",241.86,75.21,88.3,-2.62,35.34,78.62,0,-32.99
BRD-K35483542,CP,alitretinoin,"RXR agonist, ABC transporter expression enhancer, apoptosis stimulant, RAR agonist, retinoid receptor agonist","RARG, RARA, RARB, RXRA, RXRG, ABCA1, CYP2C8, CYP3A7, RXRB, VKORC1",Retinoid receptor agonist,"7.14, 4.29",47.37,"0.57, 0.24",238.97,8.18,74.37,-54.81,-1.76,94.54,71.08,47.37
BRD-K14920963,CP,erythrosine,food coloring agent,,,"2.86, 0.00",41.3,"0.68, 0.19",228.63,1.95,94.96,41.3,-59.71,84.33,44.03,21.77
BRD-K02123250,CP,JNJ-38877605,"hepatocyte growth factor receptor inhibitor, tyrosine kinase inhibitor",MET,,"0.00, 0.00",39.65,"1.05, 0.27",227.55,64.85,55.07,74.25,0,39.65,0,-6.27
BRD-K59456551,CP,methotrexate,"dihydrofolate reductase inhibitor, disease modifying antirheumatic drug, folate receptor antagonist, immunosuppressant, thymidylate synthase inhibitor","DHFR, AOX1, FOLR1, TYMS",Dihydrofolate reductase inhibitor,"5.36, 1.79",27.28,"0.97, 0.23",226.69,60.62,27.28,81.69,1.73,0.39,59.24,-4.26
BRD-K03109492,CP,NSC-663284,CDC inhibitor,"CDC25A, CDC25B, CDC25C",,"10.00, 4.29",63.54,"1.94, 0.48",226.1,92.64,63.54,-90.31,40.17,87.73,-55.13,87.46
BRD-K55696337,CP,topotecan,topoisomerase inhibitor,"TOP1, TOP1MT",,"14.29, 8.93",6.58,"2.99, 0.69",223.4,98.13,95.67,65.14,6.58,3.32,-44.57,-0.87
BRD-K13566078,CP,BMS-345541,IKK inhibitor,"IKBKB, CHUK",,"8.57, 5.71",54.45,"0.90, 0.55",220.04,97,55.8,91.38,54.45,-51.59,-21.4,-5.6
BRD-K76872913,CP,benzanthrone,aromatic hydrocarbon derivate with fluorescent and luminescent properties,,,"5.71, 0.00",40.83,"1.09, 0.34",217.62,8.53,49.19,-51.53,29.74,91.56,40.83,49.3
BRD-K37206356,CP,rhamnetin,"aldose reductase inhibitor, JNK inhibitor, lipoxygenase inhibitor, nitric oxide production inhibitor, p38 MAPK inhibitor","ALOX5, MAPK8",,"4.29, 1.43",22.76,"0.80, 0.28",217.6,80.51,91.7,24.66,-5.95,4.41,-0.49,22.76
BRD-K08554278,CP,bisbenzimide,"BCL inhibitor, DNA binding, topoisomerase inhibitor","BCL2L1, TOP1",,"4.29, 2.86",47.03,"0.94, 0.38",216.12,82.26,63.98,55.3,47.03,0,-19.49,-12.96
BRD-K92428153,CP,mycophenolate-mofetil,"dehydrogenase inhibitor, hydroxycarboxylic acid receptor agonist, immunosuppressant, IMPDH inhibitor, inosine monophosphate dehydrogenase inhibitor","IMPDH1, IMPDH2, HCAR2",IMPDH inhibitor,"5.71, 2.86",49.47,"1.16, 0.33",214.76,82.84,33.77,77.89,49.47,-27.88,54.55,-55.88
BRD-A31374339,CP,fludarabine,"DNA synthesis inhibitor, DNA repair enzyme inhibitor, purine antagonist, ribonucleotide reductase inhibitor","ADA, DCK, POLA1, RRM1, RRM2",,"4.29, 2.86",22.43,"1.49, 0.42",214.55,68.66,91.39,22.43,-12.57,44.64,0,0
BRD-K15563106,CP,phloretin,"VCAM expression inhibitor, ICAM1 expression inhibitor","AQP9, CLCN3, SLC23A1",,"5.71, 5.71",16.75,"0.17, 0.02",213.98,81.45,16.75,62.36,44.89,0.83,-8.42,16.12
BRD-K99749624,CP,linifanib,"PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor, angiogenesis inhibitor, colony stimulating factor receptor antagonist, colony stimulating factor receptor inhibitor, FLT3 inhibitor, macrophage colony stimulating factor antagonist, MAP kinase inhibitor, PARP inhibitor, receptor tyrosine kinase inhibitor, STAT inhibitor, VEGFR antagonist","CSF1R, KDR, PDGFRB, FLT1, FLT3, FLT4, CSF1, KIT, PDGFRA, RET, TEK",,"8.57, 4.29",33.71,"1.02, 0.49",213.35,95.89,5.57,80.27,94.93,33.71,-98.24,1.22
BRD-K24681473,CP,YM-155,"survivin inhibitor, XIAP expression inhibitor",BIRC5,,"10.00, 2.86",30.63,"2.30, 0.64",213.01,96.63,85,30.63,0,60.48,-69.24,9.51
BRD-K10860596,CP,granisetron,serotonin receptor antagonist,"HTR3A, CYP3A5",,"0.00, 0.00",12.64,"1.49, 0.36",210.7,32.09,91.97,9.52,12.64,3.14,54.69,6.65
BRD-K39823328,CP,VU-0366037-2,glutamate receptor modulator,GRM4,,"1.43, 0.00",47.18,"0.86, 0.16",210.02,56.52,63.98,58.65,10.94,47.18,-14.15,-13.1
BRD-M40783228,CP,mesna,sulfhydryl compound that inactivates toxic metabolites of some chemotherapeutics,,,"3.17, 0.00",11.88,"0.85, 0.32",209.63,0,9.39,-14.5,11.88,80.44,86.76,35.66
BRD-A52530684,CP,doxorubicin,"topoisomerase inhibitor, DNA intercalating drug",TOP2A,,"5.71, 2.86",42.59,"1.58, 0.51",208.03,93.02,91.22,92.65,42.59,-0.28,-82.92,-28.25
BRD-A09722536,CP,cyclophosphamide,"alkylating agrent, BCL inhibitor, galectin inhibitor","BCL2, CYP2B6, CYP2C19, CYP3A5, LGALS1",,"1.59, 0.00",4.16,"1.06, 0.41",203.47,73.57,97.31,24.94,0.35,0.46,4.16,2.68
BRD-A61899133,CP,catechin,"beta secretase inhibitor, fatty acid synthase inhibitor, free radical scavenger, immunostimulant, LDL antioxidants, quorum sensing signaling modulator, reducing agent, sodium channel blocker","BACE1, CA1, CA12, CA14, CA2, CA4, CA6, CA9, FASN, PTGS1, SCN5A",,"0.00, 0.00",24.27,"1.22, 0.33",200.89,24.27,66.95,12.79,34.58,65.76,18.6,-22.06
BRD-K83794624,CP,pirarubicin,topoisomerase inhibitor,TOP2A,Topoisomerase inhibitor,"4.29, 2.86",29.74,"3.16, 0.95",200.87,89.07,90.2,97.5,29.74,-19.21,-29.72,-56.71
BRD-K08547377,CP,irinotecan,topoisomerase inhibitor,"TOP1, CYP3A5, TOP1MT",Topoisomerase inhibitor,"7.14, 4.29",48.76,"1.91, 0.52",200.77,44.6,78.49,-83.79,48.76,60.91,-1.27,53.07
BRD-A70449690,CP,forskolin,"adenylyl cyclase activator, Adenylate cyclase stimulant, growth hormone receptor agonist, phosphokinase stimulant","ADCY2, ADCY5, GNAS",,"0.00, 0.00",13.36,"1.24, 0.48",200.27,8.72,70.98,80.17,13.36,10.95,22.29,-6.2
BRD-K09186807,CP,KIN001-244,phosphoinositide dependent kinase inhibitor,PDPK1,,"2.86, 1.43",19.83,"1.56, 0.55",200.16,-1.48,53.78,75,-6.56,19.83,60.51,-0.92
BRD-K77175907,CP,calcifediol,vitamin D receptor agonist,VDR,Vitamin D receptor agonist,"2.86, 2.86",22.94,"0.88, 0.28",199.68,75.71,49.48,7.12,-2.82,47.25,0,22.94
BRD-K69650333,CP,idarubicin,"topoisomerase inhibitor, radical formation stimulant, RNA synthesis inhibitor",TOP2A,Topoisomerase inhibitor,"1.79, 0.00",22.95,"2.64, 0.69",198.29,50.95,90.84,87.55,22.95,-6.31,-26.85,-20.84
BRD-K19352500,CP,prochlorperazine,"dopamine receptor antagonist, dopamine receptor","DRD2, DRD1, DRD3, DRD4",Dopamine receptor antagonist,"1.43, 1.43",14.5,"0.93, 0.16",198.26,42.45,85.4,51.5,10.3,-2.75,14.5,-3.14
BRD-K25991148,CP,warfarin,"cytochrome P450 inhibitor, vitamin inhibitor, vitamin K epoxide reductase inhibitor","VKORC1, CYP2C19, CYP2C8, CYP4F2",,"4.29, 4.29",26.41,"1.11, 0.39",197.02,-34.98,12.64,-25.73,52.74,84.24,81.7,26.41
BRD-A84327315,CP,calcitriol,"vitamin D receptor agonist, hypercalcaemic agent","VDR, CYP3A5",Vitamin D receptor agonist,"4.29, 0.00",11.8,"0.84, 0.27",195.99,90.05,96.13,74.35,-46.65,11.8,-31.59,1.9
BRD-K50495309,CP,SRC-kinase-inhibitor-I,src inhibitor,"CSK, LCK, RIPK2",,"0.00, 0.00",20.24,"0.85, 0.39",195.86,33.52,83,15.31,62,-4.72,-13.49,20.24
BRD-A94543220,CP,bifonazole,"cell wall synthesis inhibitor, sterol demethylase inhibitor",CYP2B6,,"0.00, 0.00",21.68,"1.10, 0.36",195.84,16.52,6.35,36.15,39.44,76.74,21.68,-1.04
BRD-A75172220,CP,hydrocortisone,"corticosteroid agonist, glucocorticoid receptor agonist, immunosuppressant, interleukin receptor antagonist","ANXA1, NOS2, NR3C1, NR3C2",,"1.43, 1.43",23.6,"1.34, 0.39",195.59,65.32,23.6,33.59,-1.97,37.88,19.73,17.44
BRD-K77286328,CP,reversine,"Aurora kinase inhibitor, adenosine receptor antagonist","AURKB, ADORA3, AURKA, INCENP, MAP2K1",Aurora kinase inhibitor,"4.29, 2.86",41.09,"1.58, 0.56",194.72,41.09,83.59,91.42,0,56.39,-34.12,-43.65
BRD-A51182606,CP,chloramphenicol,"30S ribosomal protein inhibitor, 50S ribosomal subunit inhibitor, antibacterial agent","CD55, CYP2C19",,"0.00, 0.00",19.39,"1.82, 0.47",194.36,20.53,84.17,15.26,11.14,19.39,7.53,36.34
BRD-A98283014,CP,calmidazolium,"calcium channel blocker, calmodulin antagonist","ATP2B1, PDE1A",,"0.00, 0.00",39.73,"2.63, 0.69",194.13,87.07,81.02,39.73,41.43,0.82,-56.75,0.81
BRD-K15842202,CP,eudesmic-acid,in touchstone,,,"0.00, 0.00",22.58,"1.62, 0.36",194.08,66.54,76.52,74.18,22.58,-0.39,-30.69,-14.66
BRD-K06792661,CP,narciclasine,"coflilin signaling pathway activator, LIM kinase activator, ROCK activator",RHOA,,"0.00, 0.00",52.87,"3.52, 0.82",191.95,63.73,52.87,-25.67,91.52,55.67,-96.41,50.24
BRD-A68039575,CP,liquiritigenin,aromatase inhibitor,CYP19A1,,"1.59, 0.00",13.03,"1.30, 0.45",190.28,-12.29,13.03,-9.56,-17.13,86.64,63.89,65.7
BRD-K04853698,CP,LDN-193189,"ALK inhibitor, serine/threonine protein kinase inhibitor","ACVR1, BMPR1A",,"1.79, 1.79",57.17,"4.48, 1.43",190.19,94.58,87.29,-95.53,82.95,49.88,-86.15,57.17
BRD-A60245366,CP,AS-601245,JNK inhibitor,"GSK3B, MAPK10, MAPK8, MAPK9, PIM1",,"14.29, 2.86",31.52,"1.81, 0.65",188.59,95.37,95.25,95.7,31.52,-27.15,-39.7,-62.4
BRD-A13133631,CP,fluorometholone,"corticosteroid agonist, glucocorticoid receptor agonist",NR3C1,Glucocorticoid receptor agonist,"4.76, 0.00",46.97,"1.45, 0.72",188.52,19.6,46.97,-36.44,56.23,-6.26,54.76,53.66
BRD-K24859147,CP,KIN001-242,protein kinase inhiibor,RPS6KA3,,"4.29, 2.86",14.34,"0.97, 0.26",187.32,14.34,92.25,29.41,-27.3,-2.85,82.91,-1.44
BRD-U44618005,CP,WH-4023,src inhibitor,"ABL1, LCK, SRC",SRC inhibitor,"1.43, 1.43",29.51,"1.25, 0.47",186.1,-68.99,20.94,72.15,29.51,71.78,55.86,4.85
BRD-K98824517,CP,BRD-K98824517,tyrosine phosphatase inhibitor,,,"7.14, 7.14",45.32,"2.49, 0.73",185.97,94.68,92.85,-2.78,45.32,47.13,-91.23,0
BRD-K59331372,CP,SB-366791,TRPV antagonist,TRPV1,,"4.29, 2.86",16.85,"0.92, 0.26",185.78,28.29,87,41.23,-2.31,16.85,13.3,1.42
BRD-K13261168,CP,LY-16350,"dopamine receptor agonist, dopamine receptor antagonist","DRD2, DRD3",,"2.86, 0.00",28.52,"1.34, 0.36",185.48,28.52,86.9,33.78,-17.61,40.07,-0.85,14.67
BRD-K06426971,CP,ryuvidine,histone lyinse methyltransferase inhibitor,"CDK4, CDK2",,"7.14, 4.29",1.41,"1.86, 0.38",184.75,96.44,90.1,1.41,0,8.46,-11.66,0
BRD-K04887706,CP,AKT-inhibitor-1-2,"AKT inhibitor, PI3K inhibitor","AKT1, AKT2, AKT3",,"2.86, 1.43",23.59,"1.42, 0.28",183.45,78.84,85.27,80.17,23.59,-57.87,-23.48,-3.07
BRD-K55677650,CP,CO-101244,ionotropic glutamate receptor antagonist,GRIN2B,,"3.17, 3.17",21.47,"0.97, 0.23",183.43,-12.48,24.76,0.88,21.47,57.92,83.18,7.7
BRD-K77681376,CP,BRD-K77681376,"casein kinase inhibitor, FLT3 inhibitor",,,"17.86, 14.29",0,"2.38, 0.72",183.1,98.24,96.58,97.99,0,-28.54,-5.51,-75.66
BRD-K04389336,CP,labetalol,adrenergic receptor antagonist,"ADRB1, ADRB2, ADRA1A, ADRA1D, ADRA1B",,"0.00, 0.00",16.07,"1.38, 0.41",182.92,16.07,78.95,10.39,-6.53,57.08,-12.42,39.38
BRD-K86930074,CP,cediranib,"VEGFR inhibitor, KIT inhibitor, angiogenesis inhibitor, VEGFR antagonist","KDR, FLT1, FLT4, KIT, PDGFRB, CSF1R, FLT3, PDGFRA","PDGFR/KIT inhibitor, VEGFR inhibitor","2.86, 1.43",22.74,"1.56, 0.56",181.82,-34.36,22.74,75.59,56.06,90.09,21.13,-49.43
BRD-K32744045,CP,disulfiram,"aldehyde dehydrogenase inhibitor, DNA methyltransferase inhibitor, TRPA1 agonist","ALDH2, ALDH1A2, ALDH5A1, ALDH7A1, CYP2E1, DBH, DNMT1, TRPA1",,"0.00, 0.00",15.92,"1.80, 0.52",180.96,71.53,69.72,22.81,15.92,-0.32,1.41,-0.11
BRD-K00603606,CP,ticlopidine,"purinergic receptor antagonist, platelet aggregation inhibitor","P2RY12, CYP2B6, CYP2C19",,"0.00, 0.00",-1.16,"1.24, 0.18",180.28,39.55,73.49,83.2,-1.83,-1.16,-1.41,-11.56
BRD-K57546357,CP,prunetin,breast cancer resistance protein inhibitor,"ABCG2, ALDH2",,"5.71, 0.00",19.53,"1.04, 0.31",179.49,-1.22,19.53,-74.15,52.74,-1.57,88.93,95.23
BRD-K04548931,CP,pidorubicine,"topoisomerase inhibitor, DNA intercalating drug",TOP2A,Topoisomerase inhibitor,"8.57, 4.29",37.57,"2.40, 0.72",179.08,73.95,94.67,97.67,37.57,-25.57,-40.98,-58.23
BRD-K95785537,CP,PP-2,src inhibitor,"SRC, LCK, ABL1, LYN, RIPK2",SRC inhibitor,"7.14, 5.71",19.41,"1.60, 0.53",178.87,15.54,70.88,97.85,39.48,2.43,19.41,-66.72
BRD-A75455249,CP,kavain,"calcium channel modulator, mTOR inhibitor, Sodium Channel  Blockers",MTOR,,"1.43, 1.43",23.59,"0.56, 0.16",178.86,-9.66,23.59,39.81,0,67.43,63.22,-5.53
BRD-K56699285,CP,metergoline,"dopamine receptor agonist, serotonin receptor antagonist, prolactin inhibitor","DRD2, HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR5A, HTR6, HTR7",,"1.43, 1.43",17.25,"1.22, 0.31",178.72,17.25,76.88,23.7,-0.99,15.04,49.98,-3.14
BRD-K93325701,CP,damnacanthal,src inhibitor,,,"0.00, 0.00",34.88,"1.81, 0.50",175.62,34.88,20.51,76.8,43.84,51.94,-23,-29.35
BRD-K89210380,CP,biotin,vitamin cofactor for many metabolic reactions,"ACACA, ACACB, HLCS, MCCC1, MCCC2, PC, PCCA, PCCB, SLC5A6",,"2.86, 2.86",21.12,"1.50, 0.53",175.57,21.12,85.36,-22.13,-33.05,60.49,63.78,0
BRD-K70549064,CP,staurosporine,"PKC inhibitor, AKT inhibitor, BMX inhibitor, CDK inhibitor, CHK inhibitor, G protein coupled receptor agonist, glycogen synthase kinase inhibitor, leucine rich repeat kinase inhibitor, ribosomal protein inhibitor, sodium/hydrogen exchanger inhibitor","CDK2, GSK3B, CAMK2B, CDK1, CDK5, CHEK1, CHRM1, CHRM2, CHRM4, CSK, DAPK1, GPR35, IKBKB, ITK, LCK, LRRK2, MAP2K4, MAP2K6, MAPKAPK2, PAK2, PDPK1, PHKG2, PIK3CG, PIM1, PKN1, PRKACB, PRKCI, PRKCQ, RPS6KA1, STK3, SYK, TNIK, ZAP70",,"1.43, 1.43",0,"3.22, 0.84",175.02,46.34,89.17,92.73,-5.04,0,-31.9,-16.28
BRD-K04923131,CP,GSK-3-inhibitor-IX,"glycogen synthase kinase inhibitor, lipoxygenase inhibitor, PKC inhibitor","ALOX5, GSK3A, GSK3B","Glycogen synthase kinase inhibitor, PKC inhibitor","5.71, 2.86",24.75,"1.55, 0.44",174.49,60.3,59.17,-97.2,19.05,13.04,24.75,95.38
BRD-K09602097,CP,forskolin,"adenylyl cyclase activator, Adenylate cyclase stimulant, growth hormone receptor agonist, phosphokinase stimulant","ADCY2, ADCY5, GNAS",,"1.43, 1.43",44.05,"1.14, 0.35",174.38,59.98,44.05,78.62,48.86,18.02,-81.19,6.04
BRD-K98490050,CP,amsacrine,"topoisomerase inhibitor, DNA intercalating drug","TOP2A, KCNH2",Topoisomerase inhibitor,"2.86, 1.43",28.68,"2.77, 0.68",174.06,88.84,74.25,-82.9,83.21,28.68,-39.56,21.54
BRD-K47539947,CP,tetradecylthioacetic-acid,lipid peroxidase inhibitor,,,"0.00, 0.00",18.43,"0.93, 0.40",173.48,5.74,18.43,-6.73,2.29,48.09,72.94,32.72
BRD-K12260308,CP,xanthoxyline,plant-derived antifungal,,,"2.86, 1.43",38.78,"0.93, 0.28",173.12,42.42,56.35,-40.37,13.35,38.78,18.38,44.21
BRD-A45543382,CP,metrizamide,iodine contrast agent,,,"0.00, 0.00",29.7,"0.84, 0.24",172.91,-7.88,-22.92,48.32,13.72,29.7,42.18,69.79
BRD-A79465854,CP,auranofin,"disease modifying antirheumatic drug, immunosuppressant, NFkB pathway inhibitor, prostanoid receptor inhibitor, thioredoxin reductase inhibitor","IKBKB, PRDX5, TRPA1, TXNRD1, TXNRD2",NFkB pathway inhibitor,"2.86, 0.00",12.52,"2.74, 0.50",172.74,92.64,94.23,-60.37,0,33.46,12.52,0.26
BRD-K06543683,CP,bisindolylmaleimide-ix,"PKC inhibitor, glycogen synthase kinase inhibitor, leucine rich repeat kinase inhibitor, SIRT inhibitor","SIRT1, AKT1, GSK3B, LCK, LRRK2, MAPK1, MAPK11, MAPK12, MAPK14, MAPK8, PRKCA, ROCK1, RPS6KB1, SIRT2",,"8.57, 5.71",28.95,"2.49, 0.91",171.89,89.67,94.41,98.24,28.95,-31.14,-30.42,-77.82
BRD-A43940795,CP,tetrahydropalmatine,serotonin release inhibitor,,,"0.00, 0.00",32.48,"0.50, 0.14",170.89,36.47,32.48,35.5,32.15,45.29,-11.42,0.42
BRD-K87573634,CP,propylpyrazole,estrogen receptor agonist,ESR1,,"1.59, 0.00",2.32,"1.33, 0.36",170.59,54.11,59.3,60.26,0,2.32,2.18,-7.58
BRD-K63606607,CP,bufalin,"ATPase inhibitor, chloride channel activator",ATP1A1,ATPase inhibitor,"5.71, 4.29",14.25,"2.18, 0.60",169.37,89.53,14.25,-6.48,94.75,7.45,-94.5,64.37
BRD-K79602928,CP,metformin,"insulin sensitizer, AMPK activator, biguanide, gluconeogenesis inhibitor","ACACB, INS, PRKAB1",,"0.00, 0.00",12.2,"1.72, 0.47",169.16,39.53,72.35,12.2,-4.28,28.8,9.14,11.42
BRD-K28452084,CP,BRD-K28452084,opioid receptor agonist,OPRK1,,"1.59, 0.00",22.64,"0.92, 0.22",169.09,-2.08,45.52,65.95,22.64,11.19,33.13,-7.26
BRD-K21680192,CP,mitoxantrone,"topoisomerase inhibitor, DNA intercalating drug, HCV inhibitor, immunosuppressant, Pim kinase inhibitor","TOP2A, PIM1",Topoisomerase inhibitor,"9.52, 4.76",2.61,"2.56, 0.70",168.71,93.1,96.93,92.6,2.61,-10.25,-39.4,-66.88
BRD-A18497530,CP,5-iodotubercidin,"adenosine kinase inhibitor, nucleoside transporter inhibitor","MAPK3, ADK, CSNK1G2, GSG2, LRRK2",,"10.00, 7.14",12.47,"4.91, 1.55",168.69,91.26,96.32,96.85,12.47,-27.82,-34.65,-65.74
BRD-K38615104,CP,A-443644,AKT inhibitor,"AKT1, AKT2, AKT3, CDC42BPB, GSK3B, PHKG1, PKIA, PRKACA",,"7.14, 1.43",29.14,"2.41, 0.84",168.29,61.68,96.09,96.06,29.14,-26.87,-30.57,-57.24
BRD-A87387433,CP,cefpodoxime,cell wall synthesis inhibitor,,,"3.57, 1.79",17.98,"1.22, 0.39",167.61,-35.52,4.79,17.98,55.75,59.11,50.82,14.68
BRD-A70649075,CP,sulconazole,"sterol demethylase inhibitor, cell wall synthesis inhibitor",,,"1.43, 0.00",8.55,"0.64, 0.11",167.13,74.16,73.89,36.88,8.55,-9.31,-8.01,-9.03
BRD-K00673382,CP,famotidine,histamine receptor antagonist,HRH2,,"0.00, 0.00",23.11,"1.61, 0.40",166.81,23.11,90.48,28.42,16.86,25.01,7.26,-24.33
BRD-A47144777,CP,dihydro-7-desacetyldeoxygedunin,HSP90 inhibitor,HSP90AA1,,"3.17, 1.59",14.19,"1.03, 0.27",166.51,-9.65,42.28,6.85,0,88.51,24.33,14.19
BRD-U33728988,CP,QL-X-138,mTOR inhibitor,"BTK, JAK3, MKNK2, MTOR, PRKDC",MTOR inhibitor,"2.86, 2.86",13.48,"1.47, 0.68",166.49,13.48,81.57,54.82,0,93.73,-80.81,3.7
BRD-K35573744,CP,erbstatin-analog,"EGFR inhibitor, tyrosine kinase inhibitor",EGFR,,"1.59, 0.00",21.38,"1.30, 0.33",166.3,21.38,46.92,-25.28,3.68,79.24,24.62,15.74
