entrez	symbol	logFC	pvalue	padj
141	ADPRH	0.645745803301067	0.3792111238600064	0.6345096490779001
142	PARP1	-0.3982869983978829	0.5281723726437588	0.82446419144391625
143	PARP4	0.45622034372479797	0.6158193014859066	0.9305124658835485
146	ADRA1D	2.2095641419288214	0.007897685302075881	0.026345637154706867
147	ADRA1B	0.06816738582741316	1	1
148	ADRA1A	3.4134534015523554	2.4742284698281497e-10	9.54164004774753e-9
150	ADRA2A	0.39094418591919033	0.7565302493455409	1
151	ADRA2B	3.848505950670672	1.0330997883927682e-9	3.2467088275221086e-8
152	ADRA2C	0.18743859823792847	1	1
153	ADRB1	2.2221596514090143	6.497015924748644e-4	0.0033218959966321362
154	ADRB2	1.7987597500494887	0.021181459256878032	0.05912724461259763
155	ADRB3	4.159463646221112	6.90993655283719e-4	0.0034966504219307824
158	ADSL	-0.1690920933734523	1	1
160	AP2A1	-0.34288180729896695	0.8292014564759277	1
162	AP1B1	-0.41151593408785425	0.47865276029058507	0.7628879358624298
163	AP2B1	-0.591352650265656	0.011552981144457184	0.03597821999851652
164	AP1G1	-0.32743521088193406	0.9295171713808441	1
165	AEBP1	0.7864316903066151	0.13708518318996274	0.27542610851601673
167	CRISP1	5.728761693440993	1.692883407483965e-8	3.832833658922835e-7
173	AFM	4.6278055124367805	2.4387662123451491e-4	0.001464650923192797
174	AFP	3.3248681281497428	0.0021005666266494614	0.00886541008032292
175	AGA	0.08958673939342734	1	1
176	ACAN	2.4661990932429627	9.296947023698486e-4	0.004472390142357673
178	AGL	0.17449053836143946	1	1
181	AGRP	0.8502009014629017	0.24425943007827255	0.44257177176904805
182	JAG1	0.6382970813316919	0.3012850263277547	0.5247193973827298
183	AGT	0.9699988851095026	0.14030837600574148	0.2806700707939286
185	AGTR1	3.5864067659738685	4.37897053783489e-5	3.459797510118253e-4
186	AGTR2	5.179229747650923	2.0641527288738128e-4	0.0012741952465308414
187	APLNR	2.909526512855466	0.004891601887835459	0.017751628910643028
189	AGXT	3.2990279605666935	0.00257735251749731	0.01050294844366622
190	NR0B1	-0.7472901207074928	0.2757742781300321	0.48853299682870227
191	AHCY	-0.7002455437293369	0.05445262114216527	0.12913102722935374
196	AHR	0.026405687569846552	1	1
197	AHSG	2.199663489541308	0.02234633421361168	0.06193413547323546
203	AK1	-0.49683742826257504	0.17620822268677308	0.33926850191045116
204	AK2	0.0442619247609744	1	1
205	AK4	0.9982504016000879	0.02503937217972974	0.06803833018665498
207	AKT1	-0.11038454740810964	1	1
208	AKT2	0.5590672208131936	0.048792741901990073	0.11791345959925434
210	ALAD	-0.10460623029595825	1	1
211	ALAS1	-0.71917027696995	0.006644783340905426	0.022894490230400983
212	ALAS2	4.482418849568345	8.540275297610598e-6	8.595795251744204e-5
213	ALB	2.9676775501337334	2.5184064778664027e-8	5.433152335856043e-7
214	ALCAM	-0.7183215873435707	0.00199740302236888	0.008522252895440556
215	ABCD1	0.03707860732264308	1	1
216	ALDH1A1	0.1344563331440683	1	1
217	ALDH2	-0.2769794904019157	1	1
218	ALDH3A1	1.998883722172472	0.017645195256305972	0.051063390780205956
219	ALDH1B1	-0.35846544074807507	0.8060561400766143	1
220	ALDH1A3	1.6811165454535208	0.007483944445338276	0.025209076026402613
221	ALDH3B1	2.2832652583673765	2.6315158308690407e-6	3.1234045848240426e-5
222	ALDH3B2	1.0259662919009256	0.12351332996421133	0.25256838649377816
223	ALDH9A1	-0.5369153591024866	0.3817266539242271	0.6377052066826822
224	ALDH3A2	-0.6083147912635399	0.018989488804742667	0.05417188406349568
225	ABCD2	0.4811630207980118	0.512288054537714	0.8051606536049941
226	ALDOA	-0.9795161697340069	4.953548734506649e-11	2.317820492306045e-9
229	ALDOB	1.892585839908158	3.91804939202857e-4	0.0021762879535761797
230	ALDOC	-0.5647219961222829	0.22752973271397775	0.4173591821609474
231	AKR1B1	-1.0690530112630723	1.2492812485975405e-8	2.9589275557333873e-7
238	ALK	0.47167096317176416	0.40419382792778635	0.6671923205430753
239	ALOX12	1.131359140914632	0.010422808829158931	0.03302673629898728
241	ALOX5AP	4.0978268127170505	5.673010858525471e-10	1.9518123633515085e-8
242	ALOX12B	0.6538086108460889	0.3542357261081331	0.6000150791515445
246	ALOX15	1.5709501896676865	0.05222550325266133	0.12472625015965166
247	ALOX15B	3.5286949050432583	2.5352618376036474e-6	3.0262173045681635e-5
248	ALPI	4.422336553382822	1.2591257443807487e-6	1.645695324250841e-5
249	ALPL	1.2842875914836076	0.10135132813724884	0.21488808430751302
250	ALPP	3.5455866750304237	3.560762082812488e-4	0.002005762611441941
257	ALX3	0.2952258190461394	0.9818303461507498	1
258	AMBN	2.088253863464435	0.01174706071072741	0.036465591968904074
259	AMBP	2.865642996017862	0.002550259005986204	0.01042482112794516
262	AMD1	-0.778498785850905	5.669776182742424e-4	0.002959415153788411
265	AMELX	1.0390476047156594	0.13609348430551466	0.27379938902512096
266	AMELY	-0.008178947257670635	0.71869557882922	NA
267	AMFR	-0.6242645231499602	0.07825364980997804	0.1736748625878273
268	AMH	1.3023111699126135	7.910071038940073e-6	8.03338191207111e-5
269	AMHR2	2.0105455372051115	0.013278980490765757	0.040358985855933414
270	AMPD1	3.1036289518054203	2.0289357928543724e-4	0.0012576176642432049
271	AMPD2	-0.24067082923897085	1	1
272	AMPD3	-0.2667128950344062	1	1
273	AMPH	-0.19117780454693603	1	1
274	BIN1	0.05354898849481911	1	1
275	AMT	0.7043509481938098	0.0938368754750265	0.20149186722436854
276	AMY1A	NA	NA	NA
277	AMY1B	NA	NA	NA
278	AMY1C	NA	NA	NA
279	AMY2A	0.3528143834837337	0.37031730341566166	NA
280	AMY2B	0.10838944532886648	1	1
283	ANG	1.452547763302393	0.03898998120676685	0.09832012506463265
284	ANGPT1	3.220237808059481	8.53810914152693e-7	1.1730230264194637e-5
285	ANGPT2	1.7270324554944878	3.535285116520307e-5	2.8906810051318135e-4
286	ANK1	0.2499045187386309	1	1
287	ANK2	0.1615137730073825	1	1
288	ANK3	0.23099131614602256	1	1
290	ANPEP	2.7458400568533587	1.0823790616560959e-8	2.616598567420293e-7
291	SLC25A4	-0.527094884871057	0.0450877876102536	0.11061032924635907
292	SLC25A5	-0.7296553969960116	0.05853690009019687	0.13708741722824885
293	SLC25A6	NA	NA	NA
301	ANXA1	-0.3961972703439582	0.728832782005691	1
302	ANXA2	-0.12982605237701378	1	1
306	ANXA3	1.0835720585579856	0.11769893457650482	0.24272955596894077
307	ANXA4	0.14159907294393584	1	1
308	ANXA5	0.10920367174497414	1	1
309	ANXA6	-0.045298769736716496	1	1
310	ANXA7	-0.6931506530568716	0.0316089596947312	0.08258571228840554
311	ANXA11	0.30719246196070304	0.9502301773114322	1
312	ANXA13	3.622257418679597	1.1536204003031966e-4	7.858502474533842e-4
313	AOAH	2.6001862454083744	9.241978328657597e-6	9.200902869419118e-5
314	AOC2	0.13045901333382645	1	1
316	AOX1	2.5742220506448845	1.1403013734806028e-5	1.0998710819975982e-4
317	APAF1	-0.16292233940217687	1	1
318	NUDT2	-0.7211737301173313	0.08402460456317161	0.1839108184700771
319	APOF	3.4643878804333332	8.404354379296095e-4	0.004106801712937076
322	APBB1	-0.5479713901394673	0.05950938852645175	0.13877834586476553
323	APBB2	-0.3360668420524374	0.8524272896322025	1
324	APC	-0.3829202650516412	0.5105562461163718	0.8030381951315699
325	APCS	1.1725460197109505	0.06033818466972387	0.14029327327458968
326	AIRE	2.290043734870729	0.0024239330055528625	0.009995756632377806
327	APEH	-0.6141626355688026	0.022297512432651313	0.061816513730336545
328	APEX1	-0.7189783478653088	0.0018700672076830825	0.00806313155078875
329	BIRC2	-0.6797657282402545	0.0021748229399194295	0.009126024265488796
330	BIRC3	3.1117532789090685	1.2120284060298323e-8	2.884496856306893e-7
331	XIAP	0.223964685661132	1	1
332	BIRC5	3.531087139367011	2.4198211194559427e-9	6.8208505343058e-8
333	APLP1	-0.4614396621515309	0.35241422837707687	0.5974228319899944
334	APLP2	-0.5825546505820979	0.0031816205715208723	0.012486897065040725
335	APOA1	0.18902811729867233	0.9151674390425695	1
336	APOA2	0.829703614135007	0.11041920823168735	NA
337	APOA4	4.841261619214595	7.822764375461871e-5	5.637102213885187e-4
338	APOB	4.145179897275287	6.458802361702793e-10	2.1899604271821903e-8
339	APOBEC1	5.740729870222331	4.010549619909141e-5	3.20478682340823e-4
341	APOC1	-0.2753503443366799	1	1
343	AQP8	1.4866316169101859	0.04613460728695623	0.11274492700024959
344	APOC2	NA	NA	NA
345	APOC3	1.7428673130715233	0.04257466812934572	0.1055518912200051
346	APOC4	NA	NA	NA
347	APOD	-0.13131549802989465	1	1
348	APOE	0.10812015026020742	1	1
350	APOH	3.070327965468241	8.722811570586533e-4	0.004240764729398985
351	APP	-0.3393496771275531	0.8230376491669653	1
353	APRT	-0.9986759505598302	0.0015161337965294644	0.006767800131381047
354	KLK3	3.487467637035181	5.735692119905121e-5	4.3520984964584585e-4
355	FAS	-0.5789495061381605	0.457182168703792	0.7359654238705692
356	FASLG	5.265007394245396	2.863929881521517e-5	2.4150143205973993e-4
357	SHROOM2	-0.3293437233236255	0.9104443536599985	1
358	AQP1	0.9937007977144734	0.05427388868917474	0.12875067600712745
359	AQP2	4.52611140896315	3.094171523262058e-6	3.6094667919006036e-5
360	AQP3	-0.20787497270314875	1	1
361	AQP4	0.14153434125314654	1	1
362	AQP5	1.8227497856258477	0.010341633464354181	0.032835112935987364
363	AQP6	2.216461022591788	0.008431003282642614	0.027824953780458128
364	AQP7	2.8965163233244673	0.005390373073601558	0.019243759823288305
366	AQP9	4.49692763431039	3.3081433529237443e-6	3.820969086075829e-5
367	AR	1.419102921833992	0.0037507207193123375	0.014327862022104603
369	ARAF	0.02971045063953902	1	1
372	ARCN1	-0.4650878892351779	0.19699362292987918	0.37104371807957204
373	TRIM23	-0.7219918767613124	0.01646964717734788	0.04823155646261988
374	AREG	0.147652597699076	0.2717150106222048	NA
375	ARF1	-0.9200383746864073	2.320150383504283e-9	6.566275063852981e-8
377	ARF3	-0.42608464887495057	0.32702625213847497	0.5608751946752243
378	ARF4	-1.005626227766224	2.984268844860546e-4	0.0017358222319719242
379	ARL4D	-0.5325005237570475	0.24919664796886198	0.44981436944983777
381	ARF5	-0.7837753516367743	8.825066994767111e-5	6.257246506390224e-4
382	ARF6	0.11552505516052511	1	1
383	ARG1	1.738337143939547	0.030899777387985463	0.08091353223248625
384	ARG2	-0.947332150362001	0.010309541902295244	0.0327565586682856
387	RHOA	-0.7492360705108734	8.731548050967e-4	0.004243052752392365
388	RHOB	-0.8282027355379997	3.445695791720526e-4	0.0019555948946217623
389	RHOC	-0.3414097495965787	0.8552353783956094	1
390	RND3	-0.9349005329269848	7.02960757095295e-5	5.159171471146065e-4
391	RHOG	-0.0859329586523803	1	1
392	ARHGAP1	-0.3507368274915458	0.8057712070865775	1
393	ARHGAP4	0.8909455247394827	0.014948390988427067	0.0445826233218584
394	ARHGAP5	-0.3633170425341335	0.6452684657388532	0.9653810440953029
395	ARHGAP6	1.7823487755159129	0.0012717789997508963	0.005821430134511929
396	ARHGDIA	-0.3932802104997868	0.5480499685598726	0.8491346679909256
397	ARHGDIB	0.9886455488275381	0.18243228552400864	0.3485671254422459
398	ARHGDIG	-0.3105401921979876	0.9760725013959596	1
399	RHOH	2.1280152067101605	0.0023044117610402756	0.009589267596929654
400	ARL1	-0.6848380627903389	0.013426705810537396	0.040736702816523834
401	PHOX2A	1.333593862837537	0.051971238394553775	0.1241977523136675
402	ARL2	-0.9090609831957294	0.0077463388809700506	0.025935269753173062
403	ARL3	-0.8085253146998842	9.708004984219255e-5	6.809185641163245e-4
405	ARNT	0.2980487619054756	1	1
406	ARNTL	0.20572850126534512	1	1
407	ARR3	1.9067600972879026	8.106712017606503e-4	0.003985405749304752
408	ARRB1	0.25743209124223926	1	1
409	ARRB2	-0.4640319964646223	0.4248190401554737	0.6949184050274747
410	ARSA	0.7582428597502775	0.050707934781790455	0.12180085269967827
411	ARSB	0.19502839062818714	1	1
412	STS	0.02878683733427554	1	1
414	ARSD	0.3671114245956592	0.7088344412027913	1
416	ARSF	4.967267404625968	8.267684169657968e-8	1.5612946894737056e-6
417	ART1	2.119234322478265	0.016473234407604228	0.04823535303664506
419	ART3	4.014014242270506	8.749094040409846e-6	8.789166226854471e-5
420	ART4	1.144604603489332	0.09177089739839918	0.197556918860482
421	ARVCF	0.24859485734206413	1	1
427	ASAH1	-1.035962890318451	3.141776459605022e-14	3.4817497438654396e-12
429	ASCL1	-0.7024555197345388	0.27460134890387977	0.4867537103515866
430	ASCL2	1.5455931254965054	0.06359529624077814	0.14655385330478546
432	ASGR1	-0.13700655810804493	1	1
433	ASGR2	4.401890532101471	1.1677590225503619e-5	1.1227549762018457e-4
434	ASIP	0.6912028549817811	0.3506508086296442	0.595091756790988
435	ASL	0.5415935074769846	0.20256762745475732	0.379522898929679
438	ASMT	NA	NA	NA
440	ASNS	-0.6231998432169223	0.02994915253003618	0.07893470467798747
443	ASPA	1.9735967315209069	0.032615425793209515	0.0847583566606819
444	ASPH	-0.3337290413080468	0.8833383383237553	1
445	ASS1	-0.24736158865301716	1	1
460	ASTN1	-0.031414290881492966	1	1
462	SERPINC1	2.504931414881048	0.0044251644257684	0.016372564074675706
463	ZFHX3	0.5037094670110345	0.19645508491554428	0.37019494075368714
466	ATF1	-0.340563760590131	0.8614775700955215	1
467	ATF3	-0.7258171566063306	0.12291888378827959	0.25164608819115364
468	ATF4	-1.2022758741523099	8.49992166563374e-22	5.42346516944194e-19
471	ATIC	-0.5153722311502147	0.2982242364891352	0.5203355587931082
472	ATM	0.32463362608067126	0.938087437883294	1
473	RERE	0.04301705402669454	1	1
474	ATOH1	0.35573062365632635	0.1759026893592855	0.3387244566023887
475	ATOX1	-1.239710726664331	6.501961674210758e-8	1.2583208181266702e-6
476	ATP1A1	-0.41150842554391875	0.4775728600266173	0.7616856643478604
477	ATP1A2	1.9723861766811688	1.4558353752216758e-5	1.3539783419022795e-4
478	ATP1A3	-0.012161223726018858	1	1
479	ATP12A	1.5822349954749984	0.006065708145665027	0.021215872211814424
480	ATP1A4	3.625846301927676	9.671194353853847e-9	2.3615111155381276e-7
481	ATP1B1	-0.5664546113646923	0.030732047620008016	0.08053441128648273
482	ATP1B2	0.4600203379529038	0.3325401205525178	0.5684889669951185
483	ATP1B3	-0.5787136698668467	0.03668505009179823	0.09339141757138238
486	FXYD2	0.5678934941897271	0.26237177278741003	0.4690126536897619
487	ATP2A1	1.465016787877614	2.95791865662817e-4	0.0017223986513817129
488	ATP2A2	-0.19810506756819726	1	1
489	ATP2A3	-0.1281101091840426	1	1
490	ATP2B1	-0.2694479452249219	1	1
491	ATP2B2	0.396484716671908	0.6762739021159725	1
492	ATP2B3	0.5186744996023802	0.28576814977076936	0.5028614829819821
493	ATP2B4	0.1760745026752147	1	1
495	ATP4A	2.8076617462034754	6.18427838042211e-4	0.003187666232023695
501	ALDH7A1	0.1078092236278771	1	1
523	ATP6V1A	-0.08468909329618468	1	1
525	ATP6V1B1	2.8254649611098004	1.7670926384306162e-4	0.0011190346645051144
526	ATP6V1B2	-0.6931105976746373	2.043384509289869e-5	1.8169554150172077e-4
527	ATP6V0C	-0.5274163409837157	0.11918595762697524	0.24538765266388882
528	ATP6V1C1	-0.6873070702328128	8.744333132113287e-4	0.004247305154089444
529	ATP6V1E1	-1.1792345906625858	1.2523084183271084e-11	6.866824493826978e-10
533	ATP6V0B	-1.018832250969734	7.589183975158735e-7	1.0589652603110825e-5
535	ATP6V0A1	-0.29414530372897635	1	1
537	ATP6AP1	-0.7621679183699108	8.819034648632611e-4	0.0042756986774489586
538	ATP7A	-0.2319177856151623	1	1
540	ATP7B	0.3033295505532258	1	1
545	ATR	-0.05180475959964187	1	1
546	ATRX	-0.10945442380957979	1	1
547	KIF1A	0.16310317297587515	1	1
549	AUH	-0.1281397920198222	1	1
550	AUP1	-0.2718404843210806	1	1
551	AVP	0.5514368164490059	0.2139704942659931	0.3967035948987189
552	AVPR1A	2.622299360806568	0.003846468492476755	0.014608809627992525
553	AVPR1B	0.991774645156645	0.18209403812745714	0.3481496473995948
554	AVPR2	3.7717358713856113	4.1505746383299006e-4	0.002285421014243577
558	AXL	1.6109485865779996	2.2688895268662646e-4	0.0013784588751957118
563	AZGP1	0.8259359443570943	0.2732804853148711	0.4850538564266986
571	BACH1	-0.35849853164519446	0.797135799425678	1
572	BAD	-0.8171972621009959	0.019186299365380622	0.054614941116324776
573	BAG1	-0.5637208197206608	0.10936565711806472	0.2284753721875157
578	BAK1	-0.06416486720860978	1	1
579	NKX3-2	1.1885811069863574	0.09095916246216636	0.19621899372965296
580	BARD1	3.5781503940737673	5.133996629995747e-13	4.110320647954009e-11
581	BAX	-0.5596085563034529	0.21196948188720147	0.3941041422178291
582	BBS1	-0.2816091433379703	1	1
583	BBS2	-0.31817242220057423	0.9284593309627798	1
585	BBS4	-0.4401982289291574	0.3629385690542881	0.6123915786527039
586	BCAT1	-0.17938396344159444	1	1
587	BCAT2	-0.1706618220445656	1	1
590	BCHE	0.5533984300792655	0.5072253142025479	0.7985745637691677
593	BCKDHA	-0.44308861307162317	0.482764160281037	0.7678134420180917
594	BCKDHB	5.237463991796459e-4	1	1
595	CCND1	0.0877188992968721	1	1
596	BCL2	0.13099617311541406	1	1
597	BCL2A1	1.8956046024324462	0.02823577755900604	0.075152639651426
598	BCL2L1	-0.6371593471239321	0.005779696285279769	0.0203984721727876
599	BCL2L2	0.056697166595077335	1	1
602	BCL3	0.41813659197843317	0.6813950939752144	1
604	BCL6	-0.4309987985432811	0.5800850319435775	0.88818138689674
607	BCL9	-0.17489101551593167	1	1
608	TNFRSF17	1.7561877722180654	0.04303225419091563	0.10642451346516826
610	HCN2	0.17590199015413185	1	1
611	OPN1SW	3.4801108880917715	1.3244096934992184e-7	2.335575419289744e-6
613	BCR	-0.10653432785585056	1	1
617	BCS1L	-0.30486368059846763	1	1
623	BDKRB1	3.1594562430983166	1.3929156387720926e-9	4.2261140763667404e-8
624	BDKRB2	3.048719526654231	5.958521873539621e-8	1.1650259976138202e-6
627	BDNF	-0.3636582066175943	0.72737492581552	1
631	BFSP1	0.792775299879526	0.1853481494841593	0.3530888116835663
632	BGLAP	0.37267539229395813	0.3906255211751683	0.64983890130871
633	BGN	2.131706656653576	9.976361267071765e-4	0.004747415200487916
634	CEACAM1	1.893633000934675	0.001657382056581697	0.007306917207576259
635	BHMT	1.6106157905235872	0.01630422120193885	0.04783359086359543
636	BICD1	-0.007842895570962943	1	1
637	BID	-0.1617301783019135	1	1
638	BIK	0.6203536356550772	0.4153459062131697	0.682231328592285
639	PRDM1	4.591023729752328	1.2249268755331747e-17	3.0343600342619444e-15
640	BLK	3.7918995434957043	2.1359277542141677e-5	1.8857062806177576e-4
641	BLM	1.7772394638060605	0.0023629225702744	0.00979018056664655
642	BLMH	-0.1466874867095214	1	1
643	CXCR5	4.248594229929294	1.7274606325682967e-7	2.942832611598548e-6
644	BLVRA	-0.26561087509655934	1	1
645	BLVRB	-0.7196885408288498	0.047748361905797565	0.11588597843774082
646	BNC1	3.0805396739573903	3.480875868096278e-4	0.0019716661876573575
648	BMI1	-0.31476236476318853	0.8953740991988017	1
649	BMP1	0.39211581546005697	0.746192829732267	1
650	BMP2	0.5489473591158172	0.45280881164267817	0.7304330297976122
651	BMP3	3.0188592567448764	1.5299815530873624e-7	2.6471069500252675e-6
652	BMP4	1.1215603118493067	0.10561654529948783	0.2221640337488527
653	BMP5	3.191073916979998	1.3314301579779126e-8	3.114954822931437e-7
654	BMP6	2.3426756242047375	2.095060916079515e-4	0.0012896247960165214
655	BMP7	-0.13200070672965575	1	1
656	BMP8B	0.31046173800861615	0.9091776876466237	1
657	BMPR1A	-0.10103525234744518	1	1
658	BMPR1B	1.869782891807814	1.65522872791196e-4	0.0010593463858636545
659	BMPR2	-0.11922969625954201	1	1
660	BMX	4.021727834869246	1.1083708288960633e-4	7.596958389725101e-4
661	POLR3D	-0.17205962442147837	1	1
662	BNIP1	-0.37085011885175745	0.7810077957204163	1
663	BNIP2	-0.2118320615955648	1	1
664	BNIP3	-1.0039361945237284	2.423851608651009e-6	2.9180457102204488e-5
665	BNIP3L	-0.8025089224087365	4.186221736913046e-6	4.668701530319974e-5
666	BOK	-0.11502659169469454	1	1
667	DST	0.17491577847908343	1	1
668	FOXL2	3.0403364507678003	0.004704379670151623	0.017167316869100967
669	BPGM	-1.0165645456747274	7.345281064555454e-4	0.003677358300337282
670	BPHL	0.23528299292115562	1	1
671	BPI	3.2760850798611494	4.399364107424999e-4	0.00239857614308495
672	BRCA1	2.1356115911318954	3.322961057097169e-9	9.086788054316621e-8
673	BRAF	-0.1018544048880432	1	1
675	BRCA2	2.07917590769103	2.9475749702013965e-5	2.4738529557386397e-4
676	BRDT	4.561919443727595	1.9626683186409586e-9	5.645620781052462e-8
677	ZFP36L1	1.3068256053072003	0.008795558882040358	0.028802377577020494
678	ZFP36L2	0.6956218469052466	0.21379547306622287	0.39648383661109643
680	BRS3	1.4429329314025554	0.057413032823644246	0.1349808864598764
682	BSG	-0.8075983961442038	2.537747666353258e-5	2.1792338851033522e-4
683	BST1	0.5801421098571676	0.47678321909568205	0.7608296673951256
684	BST2	0.1965323887586976	1	1
685	BTC	0.8345753518204361	0.24359081734093294	0.4414844712191568
686	BTD	-0.046582668196381544	1	1
687	KLF9	1.0531919138421713	0.09419618588591068	0.2022221543651851
688	KLF5	0.29352540098680024	0.9867845151784594	1
689	BTF3	-0.5948199157234398	0.05700595834091694	0.13412866899389286
694	BTG1	-0.7227011684501501	0.006437803009478676	0.022295300370416424
695	BTK	2.204025191930649	0.0014493121727342782	0.006520650627276164
696	BTN1A1	3.4596443578208107	6.866882810776739e-5	5.06441626843135e-4
699	BUB1	2.6041379340776554	5.857659786013945e-9	1.5208247158361236e-7
701	BUB1B	1.6606269010792685	6.585691807692288e-5	4.89504065361372e-4
705	BYSL	-0.3495287567938995	0.8382830069803928	1
706	TSPO	0.2212790472228975	1	1
708	C1QBP	-0.8078315358356506	0.007826729811505733	0.02615867030334361
710	SERPING1	1.6167863369266187	0.007000734557339246	0.023894872238504648
712	C1QA	1.8569045913102435	0.036137446625695374	0.0922762643888724
713	C1QB	0.35103350293199165	0.22093750094164408	0.407432126451853
714	C1QC	4.0311261109310665	4.564314807766356e-6	5.015335358817384e-5
716	C1S	1.2487535402700058	0.03191812952690298	0.0832798185029082
